"macrozona","nombre","marca","codigo","n","precio_compra_prom","precio_compra_std","margen_error_compra","precio_compra_sup","precio_compra_inf","perc_error_compra","precio_venta_prom","precio_venta_std","margen_error_venta","precio_venta_sup","precio_venta_inf","perc_error_venta"
MACROZONA_1,SALCHICHA VIENESAS POLLO MONTINA 5UN,MONTINA,"7801965005603",2,490.00,14.14,19.6,509.6,470.4,4.0,825.00,35.36,49.0,874.0,776.0,5.939
MACROZONA_1,FIDEO SPAGHETTI LUCCHETTI 400 G,LUCCHETTI,"7802500000053",3,572.67,62.93,71.21,643.88,501.45,12.435,783.33,28.87,32.67,816.0,750.67,4.17
MACROZONA_1,MANJAR COLUN BOLSA 250 G,COLUN,"7802920221434",4,580.00,118.88,116.51,696.51,463.49,20.087,850.00,40.82,40.01,890.01,809.99,4.707
MACROZONA_1,"TÉ SUPREMO LA RENDIDORA, 20 BOLSITAS",MARCA DUMMY,"7801875032010",7,396.43,46.25,34.26,430.69,362.16,8.643,597.14,54.99,40.74,637.88,556.41,6.822
MACROZONA_1,CHOCOLATE RELLENO CAPRI FRUTILLA 30G,CAPRI,"7613034279309",6,201.83,29.44,23.56,225.39,178.27,11.673,308.33,37.64,30.12,338.45,278.22,9.768
MACROZONA_1,NEGRITA COLEGIAL HUCKE 30 GRS,NEGRITA,"7802230073907",8,153.25,27.28,18.9,172.15,134.35,12.333,256.25,17.68,12.25,268.5,244.0,4.78
MACROZONA_1,"GALLETAS TRITÓN RELLENAS CHOCOLATE MCKAY, 126 G",TRITON,"7802230086969",8,486.25,61.52,42.63,528.88,443.62,8.768,693.75,90.39,62.63,756.38,631.12,9.028
MACROZONA_1,"GALLETAS TRITÓN RELLENAS VAINILLA MCKAY, 126 G",TRITON,"7802230086952",10,481.30,64.8,40.17,521.47,441.13,8.345,690.00,80.97,50.18,740.18,639.82,7.273
MACROZONA_1,POETT LIMPIADORLIQ SOLOPARATI 250CC,POETT,"7805025694769",3,474.33,61.92,70.07,544.4,404.26,14.773,689.33,51.78,58.6,747.93,630.74,8.5
MACROZONA_1,"LECHE CONDENSADA NESTLÉ, 397 G",NESTLÉ,"7613030049883",12,899.75,293.5,166.06,1065.81,733.69,18.457,1352.25,143.38,81.13,1433.38,1271.12,5.999
MACROZONA_1,CHOCOLATE TRENCITO NESTLE 24 GR,TRENCITO,"7613034276490",8,294.75,56.18,38.93,333.68,255.82,13.208,443.75,49.55,34.34,478.09,409.41,7.738
MACROZONA_4,"HELADO MEGA SAVORY 90 ML, SAHNE NUSS",SAHNE NUSS,"7613035808133",38,1134.03,77.1,24.51,1158.54,1109.51,2.162,1564.18,106.15,33.75,1597.93,1530.43,2.158
MACROZONA_4,"HELADO MEGA SAVORY 90 ML, FRAMBUESA",MEGA,"7613035807464",42,1095.76,175.48,53.07,1148.83,1042.69,4.843,1573.98,101.59,30.72,1604.7,1543.25,1.952
MACROZONA_4,HELADO KITKAT 85 ML,KITKAT,"7613287171696",35,1127.37,84.61,28.03,1155.4,1099.34,2.487,1557.09,104.6,34.65,1591.74,1522.43,2.226
MACROZONA_4,HELADO MEGA BLANCO MARACUYA SAVORY 90 ML,MEGA,"7613037506211",18,1106.28,109.64,50.65,1156.93,1055.63,4.579,1600.00,129.71,59.92,1659.92,1540.08,3.745
MACROZONA_4,HELADO SAVORY DANKY KING CREMA DE LIMÓN 125 ML,DANKY,"7613287171665",10,1089.70,196.99,122.1,1211.8,967.6,11.205,1575.00,72.92,45.19,1620.19,1529.81,2.869
MACROZONA_4,HELADO DANKY 21 125 ML,DANKY,"7613035407145",28,1127.64,84.38,31.25,1158.9,1096.39,2.772,1570.25,83.93,31.09,1601.34,1539.16,1.98
MACROZONA_4,HELADO DANKY NOGATONGA 125 ML,DANKY,"7613035407176",24,1137.46,72.3,28.93,1166.39,1108.53,2.543,1577.04,83.84,33.54,1610.58,1543.5,2.127
MACROZONA_4,HELADO SAVORY DANKY QUEEN CHOCOLATE FRAMBUESA 125 ML,DANKY,"7613287171634",14,1113.43,87.37,45.77,1159.19,1067.66,4.11,1551.43,61.63,32.28,1583.71,1519.15,2.081
MACROZONA_4,BEBIDA ENERGÉTICA RED BULL TRADICIONAL LATA 250CC,RED BULL,"9002490100070",84,1002.46,92.86,19.86,1022.32,982.61,1.981,1444.73,122.33,26.16,1470.89,1418.57,1.811
MACROZONA_4,BEBIDA ENERGÉTICA RED BULL TRADICIONAL LATA 355CC,RED BULL,"9002490221010",59,1283.25,119.24,30.43,1313.68,1252.83,2.371,1845.83,162.63,41.5,1887.33,1804.33,2.248
MACROZONA_4,MONSTER  DRINK LATA 473ML,MONSTER,"0070847009511",12,1115.75,129.0,72.99,1188.74,1042.76,6.541,1704.17,188.85,106.85,1811.02,1597.32,6.27
MACROZONA_4,JUMEX NECTAR DE PIÑA COCO 473 ML,JUMEX,"7501013101362",9,1006.22,62.14,40.6,1046.82,965.62,4.035,1415.56,112.04,73.2,1488.75,1342.36,5.171
MACROZONA_4,NÉCTAR DURAZNO JUMEX 473 ML,JUMEX,"7501013101355",7,979.00,59.08,43.76,1022.76,935.24,4.47,1441.43,140.29,103.93,1545.36,1337.5,7.21
MACROZONA_4,NÉCTAR MANGO JUMEX 473 ML,JUMEX,"7501013101348",4,995.00,66.33,65.0,1060.0,930.0,6.533,1472.50,98.45,96.48,1568.98,1376.02,6.552
