macrozona;nombre;marca;codigo;n;precio_compra_prom;precio_compra_std;margen_error_compra;precio_compra_sup;precio_compra_inf;perc_error_compra;precio_venta_prom;precio_venta_std;margen_error_venta;precio_venta_sup;precio_venta_inf;perc_error_venta
MACROZONA_5;REDPOWER ENCENDEDORGAS SOL-TRANSDPx20UN;REDPOWER;7,80452E+12;3;156.67;45.09;51.03;207.69;105.64;32.57;333.33;152.75;172.86;506.19;160.48;51.857
MACROZONA_1;HAMBURGUESA DE VACUNO WINTER 50 GR;WINTER;7,8019E+12;3;150.00;26.46;29.94;179.94;120.06;19.96;243.33;40.41;45.73;289.07;197.6;18.795
MACROZONA_1;CHORIZO SAN JORGE 250 GR;SAN JORGE;7,80191E+12;3;779.67;65.65;74.29;853.96;705.37;9.529;1133.00;116.05;131.32;1264.32;1001.68;11.59
MACROZONA_1;SALCHICHA VIENESAS POLLO MONTINA 5UN;MONTINA;7,80197E+12;2;490.00;14.14;19.6;509.6;470.4;4.0;825.00;35.36;49.0;874.0;776.0;5.939
MACROZONA_1;FIDEO SPAGHETTI LUCCHETTI 400 G;LUCCHETTI;7,8025E+12;3;572.67;62.93;71.21;643.88;501.45;12.435;783.33;28.87;32.67;816.0;750.67;4.17
MACROZONA_1;MANJAR COLUN BOLSA 250 G;COLUN;7,80292E+12;4;580.00;118.88;116.51;696.51;463.49;20.087;850.00;40.82;40.01;890.01;809.99;4.707
MACROZONA_1;GELATINA AMBROSOLI PIÑA 100 GRS;AMBROSOLI;7,8022E+12;3;360.00;177.76;201.16;561.16;158.84;55.877;650.00;346.41;392.0;1042.0;258.0;60.308
MACROZONA_1;TÉ SUPREMO LA RENDIDORA, 20 BOLSITAS;MARCA DUMMY;7,80188E+12;7;396.43;46.25;34.26;430.69;362.16;8.643;597.14;54.99;40.74;637.88;556.41;6.822
MACROZONA_1;POLVOS DE HORNEAR ROYAL, SOBRE 20GR;IMPERIAL;7,80295E+12;3;133.33;43.11;48.78;182.12;84.55;36.586;233.33;28.87;32.67;266.0;200.67;14.0
MACROZONA_1;HELLMANN'S, MAYONESA REGULAR SACHET 93 G;HELLMANN'S;7,805E+12;10;458.50;154.9;96.01;554.51;362.49;20.94;717.90;136.83;84.81;802.71;633.09;11.813
